Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,190,190,0,0,0,0,0,0,0,0,190,190,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,790,790,0,0,0,0,0,0,0,0,790,790,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,65,65,0,0,0,0,0,0,0,0,65,65,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,155,155,0,0,0,0,0,0,0,0,155,155,0
"OPPO Enco Buds2 Pro","Graphite Black",IoT,"Enco Buds2 Pro",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,45,45,0,0,0,0,0,0,0,0,45,45,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,210,210,0,0,0,0,0,0,0,0,210,210,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,19,19,0,0,0,0,0,0,0,0,19,19,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Reno 13F (12+256G)","Plume Purple",Phone,"Reno 13F (12+256G)",0,0,49,49,0,0,0,0,0,0,0,0,49,49,0
"OPPO Watch X","Platinum Black",IoT,"Watch X",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
