Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,84,84,0,0,0,0,0,0,0,0,84,84,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,45,45,0,0,0,0,0,0,0,0,45,45,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,101,101,0,0,0,0,0,0,0,0,101,101,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,88,88,0,0,0,0,0,0,0,0,88,88,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,104,104,0,0,0,0,0,0,0,0,104,104,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,37,37,0,0,0,0,0,0,0,0,37,37,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,32,32,0,0,0,0,0,0,0,0,32,32,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,38,38,0,0,0,0,0,0,0,0,38,38,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,27,27,0,0,0,0,0,0,0,0,27,27,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,12,12,0,0,1,1,0,0,0,0,13,13,0
"OPPO Reno 13 Pro (12+512G)","Graphite Grey",Phone,"Reno 13 Pro (12+512G)",0,0,7,7,0,0,0,0,0,0,0,0,7,7,0
"OPPO Reno 13 Pro (12+512G)","Plume Purple",Phone,"Reno 13 Pro (12+512G)",0,0,11,11,0,0,0,0,0,0,0,0,11,11,0
"OPPO Reno 13F (12+256G)","Plume Purple",Phone,"Reno 13F (12+256G)",0,0,37,37,0,0,0,0,0,0,0,0,37,37,0
"OPPO Reno 13F (12+256G)","Luminous Blue",Phone,"Reno 13F (12+256G)",0,0,10,10,0,0,1,1,0,0,0,0,11,11,0
