Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,45,45,0,0,0,0,0,0,0,0,45,45,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,14,14,0,0,0,0,0,0,0,0,14,14,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",0,0,60,60,0,0,0,0,0,0,0,0,60,60,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,65,65,0,0,0,0,0,0,0,0,65,65,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,12,12,0,0,0,0,0,0,0,0,12,12,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,28,28,0,0,0,0,0,0,0,0,28,28,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",0,0,29,29,0,0,0,0,0,0,0,0,29,29,0
"OPPO Reno 11 5G (12+256G)","Rock Grey",Phone,"Reno 11 5G (12+256G)",0,0,4,4,0,0,0,0,0,0,0,0,4,4,0
"OPPO Reno 11 5G (12+256G)","Wave Green",Phone,"Reno 11 5G (12+256G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO Reno 11F 5G (8+256G)","Ocean Blue",Phone,"Reno 11F 5G (8+256G)",0,0,30,30,0,0,0,0,0,0,0,0,30,30,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
