Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,53,53,0,0,0,0,0,0,0,0,53,53,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",0,0,51,51,0,0,0,0,0,0,0,0,51,51,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",0,0,82,82,0,0,0,0,0,0,0,0,82,82,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,28,28,0,0,0,0,0,0,0,0,28,28,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,93,93,0,0,0,0,0,0,0,0,93,93,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,19,19,0,0,0,0,0,0,0,0,19,19,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,14,14,0,0,0,0,0,0,0,0,14,14,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",0,0,6,6,0,0,0,0,0,0,0,0,6,6,0
"OPPO Reno 11F 5G (8+256G)","Coral Purple",Phone,"Reno 11F 5G (8+256G)",0,0,7,7,0,0,0,0,0,0,0,0,7,7,0
"OPPO Reno 11F 5G (8+256G)","Ocean Blue",Phone,"Reno 11F 5G (8+256G)",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
