Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,205,205,0,0,0,0,0,0,0,0,205,205,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,380,380,0,0,0,0,0,0,0,0,380,380,0
"OPPO A3 (8+256G)","Starlight White",Phone,"A3 (8+256G)",0,0,40,40,0,0,0,0,0,0,0,0,40,40,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,477,477,0,0,0,0,0,0,0,0,477,477,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,170,170,0,0,0,0,0,0,0,0,170,170,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,440,440,0,0,0,0,0,0,0,0,440,440,0
"OPPO Enco Buds2 Pro","Granite White",IoT,"Enco Buds2 Pro",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Enco Buds2 Pro","Graphite Black",IoT,"Enco Buds2 Pro",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,71,71,0,0,0,0,0,0,0,0,71,71,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,292,292,0,0,0,0,0,0,0,0,292,292,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,36,36,0,0,0,0,0,0,0,0,36,36,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,17,17,0,0,0,0,0,0,0,0,17,17,0
"OPPO Reno 13F (12+256G)","Plume Purple",Phone,"Reno 13F (12+256G)",0,0,127,127,0,0,0,0,0,0,0,0,127,127,0
"OPPO Reno 13F (12+256G)","Luminous Blue",Phone,"Reno 13F (12+256G)",0,0,50,50,0,0,0,0,0,0,0,0,50,50,0
"OPPO Watch X","Platinum Black",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
