Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,92,92,0,0,0,0,0,0,0,0,92,92,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,211,211,0,0,0,0,0,0,0,0,211,211,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,122,122,0,0,0,0,0,0,0,0,122,122,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,207,207,0,0,0,0,0,0,0,0,207,207,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,32,32,0,0,0,0,0,0,0,0,32,32,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,36,36,0,0,0,0,0,0,0,0,36,36,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,23,23,0,0,0,0,0,0,0,0,23,23,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,36,36,0,0,0,0,0,0,0,0,36,36,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,30,30,0,0,0,0,0,0,0,0,30,30,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,41,41,0,0,0,0,0,0,0,0,41,41,0
"OPPO Reno 13 Pro (12+512G)","Graphite Grey",Phone,"Reno 13 Pro (12+512G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 13 Pro (12+512G)","Plume Purple",Phone,"Reno 13 Pro (12+512G)",0,0,6,6,0,0,0,0,0,0,0,0,6,6,0
"OPPO Reno 13F (12+256G)","Plume Purple",Phone,"Reno 13F (12+256G)",0,0,11,11,0,0,0,0,0,0,0,0,11,11,0
