Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,163,163,0,0,0,0,0,0,0,0,163,163,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,167,167,0,0,0,0,0,0,0,0,167,167,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,188,188,0,0,0,0,0,0,0,0,188,188,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,40,40,0,0,0,0,0,0,0,0,40,40,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,34,34,0,0,0,0,0,0,0,0,34,34,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,47,47,0,0,0,0,0,0,0,0,47,47,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,37,37,0,0,0,0,0,0,0,0,37,37,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,51,51,0,0,0,0,0,0,0,0,51,51,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,21,21,0,0,0,0,0,0,0,0,21,21,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,101,101,0,0,0,0,0,0,0,0,101,101,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,114,114,0,0,0,0,0,0,0,0,114,114,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,109,109,0,0,0,0,0,0,0,0,109,109,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,116,116,0,0,1,1,0,0,0,0,117,117,0
