Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,78,78,0,0,0,0,0,0,0,0,78,78,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,277,277,0,0,0,0,0,0,0,0,277,277,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,15,15,0,0,0,0,0,0,0,0,15,15,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,13,13,0,0,3,3,0,0,0,0,16,16,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,92,92,0,0,0,0,0,0,0,0,92,92,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,167,167,0,0,0,0,0,0,0,0,167,167,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,46,46,0,0,0,0,0,0,0,0,46,46,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,32,32,0,0,0,0,0,0,0,0,32,32,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,31,31,0,0,0,0,0,0,0,0,31,31,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,43,43,0,0,0,0,0,0,0,0,43,43,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,17,17,0,0,0,0,0,0,0,0,17,17,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,19,19,0,0,0,0,0,0,0,0,19,19,0
"OPPO Reno 12 Pro (12+512G)","Nebula Silver",Phone,"Reno 12 Pro (12+512G)",0,0,4,4,0,0,0,0,0,0,0,0,4,4,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,92,92,0,0,0,0,0,0,0,0,92,92,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,96,96,0,0,0,0,0,0,0,0,96,96,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,84,84,0,0,0,0,0,0,0,0,84,84,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,97,97,0,0,1,1,0,0,0,0,98,98,0
