Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,35,35,0,0,0,0,0,0,0,0,35,35,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,30,30,0,0,0,0,0,0,0,0,30,30,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,77,77,0,0,0,0,0,0,0,0,77,77,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,43,43,0,0,0,0,0,0,0,0,43,43,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,20,20,0,0,0,0,0,0,0,0,20,20,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,88,88,0,0,0,0,0,0,0,0,88,88,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,98,98,0,0,0,0,0,0,0,0,98,98,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,84,84,0,0,0,0,0,0,0,0,84,84,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,37,37,0,0,0,0,0,0,0,0,37,37,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,40,40,0,0,0,0,0,0,0,0,40,40,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,28,28,0,0,0,0,0,0,0,0,28,28,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,43,43,0,0,0,0,0,0,0,0,43,43,0
