Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,225,225,0,0,0,0,0,0,0,0,225,225,0
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,160,160,0,0,0,0,0,0,0,0,160,160,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,190,190,0,0,0,0,0,0,0,0,190,190,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,788,788,0,0,0,0,0,0,0,0,788,788,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,413,413,0,0,0,0,0,0,0,0,413,413,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,1580,1580,0,0,0,0,0,0,0,0,1580,1580,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,55,55,0,0,0,0,0,0,0,0,55,55,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,347,347,0,0,0,0,0,0,0,0,347,347,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,822,822,0,0,0,0,0,0,0,0,822,822,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,44,44,0,0,0,0,0,0,0,0,44,44,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,160,160,0,0,0,0,0,0,0,0,160,160,0
