Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,900,900,0,0,0,0,0,0,0,0,900,900,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,229,229,0,0,0,0,0,0,0,0,229,229,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,339,339,0,0,0,0,0,0,0,0,339,339,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,59,59,0,0,0,0,0,0,0,0,59,59,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,144,144,0,0,0,0,0,0,0,0,144,144,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,123,123,0,0,0,0,0,0,0,0,123,123,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,194,194,0,0,0,0,0,0,0,0,194,194,0
"OPPO Enco Air3 Pro",Green,IoT,"Enco Air3 Pro",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Enco Air3 Pro",White,IoT,"Enco Air3 Pro",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,25,25,0,0,0,0,0,0,0,0,25,25,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,462,462,0,0,0,0,0,0,0,0,462,462,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,1005,1005,0,0,0,0,0,0,0,0,1005,1005,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,182,182,0,0,0,0,0,0,0,0,182,182,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,168,168,0,0,0,0,0,0,0,0,168,168,0
