Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,37,37,0,0,0,0,0,0,0,0,37,37,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,129,129,0,0,0,0,0,0,0,0,129,129,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,333,333,0,0,0,0,0,0,0,0,333,333,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,25,25,0,0,0,0,0,0,0,0,25,25,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",0,0,88,88,0,0,0,0,0,0,0,0,88,88,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",0,0,137,137,0,0,0,0,0,0,0,0,137,137,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,33,33,0,0,0,0,0,0,0,0,33,33,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,35,35,0,0,0,0,0,0,0,0,35,35,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,35,35,0,0,0,0,0,0,0,0,35,35,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",0,0,37,37,0,0,0,0,0,0,0,0,37,37,0
"OPPO Reno 11 5G (12+256G)","Rock Grey",Phone,"Reno 11 5G (12+256G)",0,0,27,27,0,0,0,0,0,0,0,0,27,27,0
"OPPO Reno 11 5G (12+256G)","Wave Green",Phone,"Reno 11 5G (12+256G)",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
"OPPO Reno 11F 5G (8+256G)","Ocean Blue",Phone,"Reno 11F 5G (8+256G)",0,0,52,52,0,0,0,0,0,0,0,0,52,52,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,48,48,0,0,0,0,0,0,0,0,48,48,0
"OPPO Reno 11Pro 5G (12+512G)","Pearl White",Phone,"Reno 11Pro 5G (12+512G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Reno 11Pro 5G (12+512G)","Rock Grey",Phone,"Reno 11Pro 5G (12+512G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
