Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A17 (4+64G)","Lake Blue",Phone,"A17 (4+64G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A17 (4+64G)","Midnight Black",Phone,"A17 (4+64G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A17K (3+64G)",Blue,Phone,"A17K (3+64G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO A17K (3+64G)",Gold,Phone,"A17K (3+64G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO A17K (3+64G)","Navy Blue",Phone,"A17K (3+64G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,15,15,0,0,0,0,0,0,0,0,15,15,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,12,12,0,0,0,0,0,0,0,0,12,12,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,11,11,0,0,0,0,0,0,0,0,11,11,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",0,0,9,9,0,0,0,0,0,0,0,0,9,9,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A38(4+128G)","Glowing Black",Phone,A38(4+128G),0,0,12,12,0,0,0,0,0,0,0,0,12,12,0
"OPPO A38(4+128G)","Glowing Gold",Phone,A38(4+128G),0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO A58 (8+128G)","Glowing Black",Phone,"A58 (8+128G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO A58(6+128G)","Dazzling Green",Phone,A58(6+128G),0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A58(6+128G)","Glowing Black",Phone,A58(6+128G),0,0,15,15,0,0,0,0,0,0,0,0,15,15,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
