Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,251,251,0,0,0,0,0,0,0,0,251,251,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,130,130,0,0,0,0,0,0,0,0,130,130,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,548,548,0,0,50,50,0,0,0,0,598,598,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,170,170,0,0,0,0,0,0,0,0,170,170,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,540,540,0,0,0,0,0,0,0,0,540,540,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,282,282,0,0,0,0,0,0,0,0,282,282,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,79,79,0,0,0,0,0,0,0,0,79,79,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,308,308,0,0,0,0,0,0,0,0,308,308,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,682,682,0,0,0,0,0,0,0,0,682,682,0
"OPPO A98 5G(8+256G)","Dreamy Blue",Phone,"A98 5G(8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Enco Air3 Pro",Green,IoT,"Enco Air3 Pro",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Enco Air3 Pro",White,IoT,"Enco Air3 Pro",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,7,7,0,0,0,0,0,0,0,0,7,7,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,19,19,0,0,0,0,0,0,0,0,19,19,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,462,462,0,0,0,0,0,0,0,0,462,462,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,1005,1005,0,0,0,0,0,0,0,0,1005,1005,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,182,182,0,0,0,0,0,0,0,0,182,182,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,167,167,0,0,0,0,0,0,0,0,167,167,0
