Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,317,317,0,0,0,0,0,0,0,0,317,317,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,295,295,0,0,0,0,0,0,0,0,295,295,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,69,69,0,0,0,0,0,0,0,0,69,69,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",0,0,23,23,0,0,0,0,0,0,0,0,23,23,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",0,0,14,14,0,0,0,0,0,0,0,0,14,14,0
"OPPO A58 (8+128G)","Glowing Black",Phone,"A58 (8+128G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,133,133,0,0,0,0,0,0,0,0,133,133,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,126,126,0,0,0,0,0,0,0,0,126,126,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,67,67,0,0,0,0,0,0,0,0,67,67,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,80,80,0,0,0,0,0,0,0,0,80,80,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,40,40,0,0,0,0,0,0,0,0,40,40,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Reno 11F 5G (8+256G)","Coral Purple",Phone,"Reno 11F 5G (8+256G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
