Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,65,65,0,0,0,0,0,0,0,0,65,65,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,232,232,0,0,0,0,0,0,0,0,232,232,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,29,29,0,0,0,0,0,0,0,0,29,29,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,39,39,0,0,0,0,0,0,0,0,39,39,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,60,60,0,0,0,0,0,0,0,0,60,60,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,188,188,0,0,0,0,0,0,0,0,188,188,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,150,150,0,0,0,0,0,0,0,0,150,150,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,26,26,0,0,0,0,0,0,0,0,26,26,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,26,26,0,0,0,0,0,0,0,0,26,26,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,4,4,0,0,0,0,0,0,0,0,4,4,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,70,70,0,0,0,0,0,0,0,0,70,70,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,65,65,0,0,0,0,0,0,0,0,65,65,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,49,49,0,0,0,0,0,0,0,0,49,49,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,74,74,0,0,0,0,0,0,0,0,74,74,0
