Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,430,430,0,0,0,0,0,0,0,0,430,430,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,545,545,0,0,0,0,0,0,0,0,545,545,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,780,780,0,0,0,0,0,0,0,0,780,780,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,2431,2431,0,0,0,0,0,0,0,0,2431,2431,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,182,182,0,0,0,0,0,0,0,0,182,182,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,417,417,0,0,0,0,0,0,0,0,417,417,0
"OPPO Find X8 (16+512G)","Space Black",Phone,"Find X8 (16+512G)",0,0,19,19,0,0,0,0,0,0,0,0,19,19,0
"OPPO Pad Neo (8+128G)","Space Grey",IoT,"Pad Neo (8+128G)",7,0,53,60,0,0,0,0,0,0,0,0,53,60,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,262,262,0,0,0,0,0,0,0,0,262,262,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,585,585,0,0,0,0,0,0,0,0,585,585,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,82,82,0,0,0,0,0,0,0,0,82,82,0
"OPPO Watch X","Platinum Black",IoT,"Watch X",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
