Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,47,47,0,0,0,0,0,0,0,0,47,47,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,284,284,0,0,0,0,0,0,0,0,284,284,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,26,26,0,0,0,0,0,0,0,0,26,26,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,28,28,0,0,3,3,0,0,0,0,31,31,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,102,102,0,0,0,0,0,0,0,0,102,102,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,187,187,0,0,0,0,0,0,0,0,187,187,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,48,48,0,0,0,0,0,0,0,0,48,48,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,37,37,0,0,0,0,0,0,0,0,37,37,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,41,41,0,0,0,0,0,0,0,0,41,41,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,34,34,0,0,0,0,0,0,0,0,34,34,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,53,53,0,0,0,0,0,0,0,0,53,53,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,19,19,0,0,0,0,0,0,0,0,19,19,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,19,19,0,0,0,0,0,0,0,0,19,19,0
"OPPO Reno 12 Pro (12+512G)","Nebula Silver",Phone,"Reno 12 Pro (12+512G)",0,0,4,4,0,0,0,0,0,0,0,0,4,4,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,92,92,0,0,0,0,0,0,0,0,92,92,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,98,98,0,0,0,0,0,0,0,0,98,98,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,86,86,0,0,0,0,0,0,0,0,86,86,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,98,98,0,0,1,1,0,0,0,0,99,99,0
