Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,116,116,0,0,0,0,0,0,0,0,116,116,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,46,46,0,0,0,0,0,0,0,0,46,46,0
"OPPO A3 (8+256G)","Starlight White",Phone,"A3 (8+256G)",0,0,10,10,0,0,0,0,0,0,0,0,10,10,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,36,36,0,0,0,0,0,0,0,0,36,36,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,78,78,0,0,0,0,0,0,0,0,78,78,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,71,71,0,0,0,0,0,0,0,0,71,71,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,110,110,0,0,0,0,0,0,0,0,110,110,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,6,6,0,0,0,0,0,0,0,0,6,6,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,58,58,0,0,0,0,0,0,0,0,58,58,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,54,54,0,0,0,0,0,0,0,0,54,54,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,33,33,0,0,0,0,0,0,0,0,33,33,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,41,41,0,0,0,0,0,0,0,0,41,41,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,20,20,0,0,0,0,0,0,0,0,20,20,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,18,18,0,0,1,1,0,0,0,0,19,19,0
"OPPO Reno 13 Pro (12+512G)","Graphite Grey",Phone,"Reno 13 Pro (12+512G)",0,0,22,22,0,0,0,0,0,0,0,0,22,22,0
"OPPO Reno 13 Pro (12+512G)","Plume Purple",Phone,"Reno 13 Pro (12+512G)",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
"OPPO Reno 13F (12+256G)","Plume Purple",Phone,"Reno 13F (12+256G)",0,0,58,58,0,0,0,0,0,0,0,0,58,58,0
"OPPO Reno 13F (12+256G)","Luminous Blue",Phone,"Reno 13F (12+256G)",0,0,14,14,0,0,1,1,0,0,0,0,15,15,0
