Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",0,0,295,295,0,0,0,0,0,0,0,0,295,295,0
"OPPO A3 (8+128G)","Starlight White",Phone,"A3 (8+128G)",0,0,215,215,0,0,0,0,0,0,0,0,215,215,0
"OPPO A3 (8+128G)","Sparkle Black",Phone,"A3 (8+128G)",0,0,210,210,0,0,0,0,0,0,0,0,210,210,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,1113,1113,0,0,0,0,0,0,0,0,1113,1113,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,473,473,0,0,0,0,0,0,0,0,473,473,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,1890,1890,0,0,0,0,0,0,0,0,1890,1890,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,85,85,0,0,0,0,0,0,0,0,85,85,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,352,352,0,0,0,0,0,0,0,0,352,352,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,852,852,0,0,0,0,0,0,0,0,852,852,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,69,69,0,0,0,0,0,0,0,0,69,69,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,170,170,0,0,0,0,0,0,0,0,170,170,0
